startSec	durationSec	eventName	
1404.8125	115	segmentViewed	
4184.8477	115	segmentViewed	
4574.8555	115	segmentViewed	
5594.8672	115	segmentViewed	
6024.8711	115	segmentViewed	
8246.9023	115	segmentViewed	
12364.9531	115	segmentViewed	
12534.957	115	segmentViewed	
12854.9609	115	segmentViewed	
13024.9648	115	segmentViewed	
1425.2625	1.91	spindle	
1427.6625	0.42	spindle	
1428.7225	0.5	spindle	
1447.2425	0.6	spindle	
1507.2325	1.63	spindle	
1511.3025	0.77	spindle	
1516.3025	0.47	spindle	
4187.0177	0.6	spindle	
4210.0877	0.39	spindle	
4241.0877	0.36	spindle	
4276.6577	0.68	spindle	
4282.3477	0.6	spindle	
4581.4155	0.91	spindle	
4585.2355	0.3	spindle	
4589.8655	0.39	spindle	
4601.9555	0.48	spindle	
4608.4855	1.02	spindle	
4661.4655	0.81	spindle	
4688.2855	1.3	spindle	
5602.6672	0.58	spindle	
5610.3672	0.87	spindle	
5617.3672	0.79	spindle	
5628.3772	0.84	spindle	
5638.6272	1.58	spindle	
5646.3472	1.02	spindle	
5651.0072	1.94	spindle	
5658.8472	1.01	spindle	
5662.6572	0.96	spindle	
5671.6872	0.68	spindle	
5676.0472	0.76	spindle	
5683.4772	0.9	spindle	
5687.7172	0.96	spindle	
6032.1811	0.82	spindle	
6036.8411	0.92	spindle	
6042.9611	0.68	spindle	
6063.0011	0.35	spindle	
6078.7611	0.79	spindle	
6084.3411	0.51	spindle	
6090.4611	0.59	spindle	
6096.2511	0.74	spindle	
6122.3711	0.45	spindle	
8292.5523	1.02	spindle	
8298.2523	1.2	spindle	
8349.8923	2.06	spindle	
12386.9231	0.72	spindle	
12392.0031	0.75	spindle	
12405.9631	0.72	spindle	
12419.0731	0.4	spindle	
12434.7131	0.98	spindle	
12440.2031	1.33	spindle	
12445.7131	1.53	spindle	
12459.1531	0.96	spindle	
12470.8431	0.61	spindle	
12551.087	0.94	spindle	
12558.447	0.96	spindle	
12560.967	0.49	spindle	
12563.027	0.78	spindle	
12576.277	1.32	spindle	
12583.117	0.94	spindle	
12589.857	0.35	spindle	
12596.337	0.98	spindle	
12604.897	0.65	spindle	
12631.407	0.96	spindle	
12638.487	0.6	spindle	
12642.087	1.22	spindle	
12870.9609	0.73	spindle	
12889.8809	1.12	spindle	
12895.1109	0.99	spindle	
12900.7209	0.65	spindle	
12903.9509	0.41	spindle	
12906.0509	0.77	spindle	
12911.4509	2.47	spindle	
12926.0309	0.95	spindle	
12931.8809	0.67	spindle	
12943.3409	1.05	spindle	
12952.4609	1.48	spindle	
12961.8209	0.72	spindle	
12966.2109	1.51	spindle	
13032.8748	1.22	spindle	
13036.5848	0.98	spindle	
13040.1848	1.36	spindle	
13049.8748	0.84	spindle	
13056.3248	1.33	spindle	
13069.4348	1.06	spindle	
13075.2848	1.79	spindle	
13081.0148	1.22	spindle	
13086.9248	1.2	spindle	
13091.5148	1.19	spindle	
13116.3248	1.24	spindle	
