startSec	durationSec	eventName	
2317.3516	115	segmentViewed	
2777.3594	115	segmentViewed	
4687.3867	115	segmentViewed	
2347.8816	0.96	spindle	
2356.3716	0.67	spindle	
2363.3716	0.54	spindle	
2367.5316	0.62	spindle	
2371.4116	1.32	spindle	
2377.9116	0.89	spindle	
2410.8816	0.58	spindle	
2416.0916	1.38	spindle	
2420.8616	0.34	spindle	
2786.2194	1.16	spindle	
2798.1594	0.82	spindle	
2803.0294	1.15	spindle	
2806.8494	0.86	spindle	
2810.0294	1.31	spindle	
2814.2694	0.41	spindle	
2822.2694	0.92	spindle	
2827.2194	0.92	spindle	
2833.8294	0.84	spindle	
2839.2994	1.18	spindle	
2846.5494	0.82	spindle	
2856.9194	1.2	spindle	
2861.6394	1.49	spindle	
2865.0094	0.91	spindle	
2867.2294	0.34	spindle	
2885.0994	0.8	spindle	
4691.1567	1.18	spindle	
4706.0167	0.82	spindle	
4717.3867	0.52	spindle	
4723.2567	0.61	spindle	
4740.7867	0.98	spindle	
4759.4467	0.79	spindle	
4771.4167	1.38	spindle	
4777.1467	0.75	spindle	
4783.3667	0.85	spindle	
