startSec	durationSec	eventName	
2657.9883	115	segmentViewed	
6208.0352	115	segmentViewed	
6418.0352	115	segmentViewed	
2658.5283	0.96	spindle	
2661.8883	0.71	spindle	
2665.9583	1.11	spindle	
2675.7683	0.69	spindle	
2683.5983	0.89	spindle	
2687.6083	0.85	spindle	
2699.2083	0.47	spindle	
2708.1483	0.75	spindle	
2720.1783	0.53	spindle	
2734.2883	0.79	spindle	
2738.7783	0.84	spindle	
2758.4383	0.73	spindle	
2760.4883	0.99	spindle	
2766.7883	0.72	spindle	
2772.6183	0.33	spindle	
6208.8752	0.89	spindle	
6211.6252	0.9	spindle	
6246.4652	0.9	spindle	
6250.6752	1.05	spindle	
6272.9452	0.81	spindle	
6285.6252	0.77	spindle	
6302.4752	0.78	spindle	
6312.5452	0.53	spindle	
6428.4852	0.87	spindle	
6435.0652	0.96	spindle	
6443.2952	0.89	spindle	
6446.0452	1.44	spindle	
6449.0752	0.55	spindle	
6452.0452	0.8	spindle	
6455.8152	1.93	spindle	
6460.0552	1.24	spindle	
6464.2552	0.98	spindle	
6467.5152	0.75	spindle	
6502.6852	0.65	spindle	
6509.8652	0.47	spindle	
6512.9352	0.64	spindle	
6516.3852	1.15	spindle	
6519.2852	0.35	spindle	
