epochNum	EEGVectBlockNum	PSGFilename	startSamples	durationSamples	startSec	durationSec	
1	1	01-05-0001	764009	146	2984.41	0.57	
2	1	01-05-0001	765816	177	2991.47	0.69	
3	1	01-05-0001	770248	271	3008.78	1.06	
4	1	01-05-0001	773123	141	3020.01	0.55	
5	1	01-05-0001	775188	202	3028.08	0.79	
6	1	01-05-0001	777546	159	3037.29	0.62	
7	1	01-05-0001	778010	95	3039.1	0.37	
8	1	01-05-0001	780762	310	3049.85	1.21	
9	1	01-05-0001	782610	184	3057.07	0.72	
10	1	01-05-0001	783429	95	3060.27	0.37	
11	1	01-05-0001	783583	138	3060.87	0.54	
12	1	01-05-0001	784333	246	3063.8	0.96	
13	1	01-05-0001	785874	320	3069.82	1.25	
14	2	01-05-0001	850506	148	3322.29	0.58	
15	2	01-05-0001	851423	591	3325.87	2.31	
16	2	01-05-0001	853460	131	3333.83	0.51	
17	2	01-05-0001	854446	141	3337.68	0.55	
18	2	01-05-0001	856061	154	3343.99	0.6	
19	2	01-05-0001	857480	136	3349.53	0.53	
20	2	01-05-0001	859397	241	3357.02	0.94	
21	2	01-05-0001	860708	92	3362.14	0.36	
22	2	01-05-0001	860844	333	3362.67	1.3	
23	2	01-05-0001	861819	125	3366.48	0.49	
24	2	01-05-0001	864571	333	3377.23	1.3	
25	2	01-05-0001	866772	151	3385.83	0.59	
26	2	01-05-0001	871263	187	3403.37	0.73	
27	2	01-05-0001	871964	233	3406.11	0.91	
28	2	01-05-0001	872300	159	3407.42	0.62	
29	2	01-05-0001	873464	236	3411.97	0.92	
30	2	01-05-0001	874665	82	3416.66	0.32	
31	2	01-05-0001	874819	141	3417.26	0.55	
32	2	01-05-0001	875722	100	3420.79	0.39	
33	3	01-05-0001	894226	384	3493.07	1.5	
34	3	01-05-0001	895114	330	3496.54	1.29	
35	3	01-05-0001	896722	172	3502.82	0.67	
36	3	01-05-0001	897362	195	3505.32	0.76	
37	3	01-05-0001	898860	164	3511.17	0.64	
38	3	01-05-0001	899238	151	3512.65	0.59	
39	3	01-05-0001	903035	241	3527.48	0.94	
40	3	01-05-0001	905846	287	3538.46	1.12	
41	3	01-05-0001	906447	187	3540.81	0.73	
42	3	01-05-0001	910886	276	3558.15	1.08	
43	3	01-05-0001	912256	146	3563.5	0.57	
44	3	01-05-0001	913667	177	3569.01	0.69	
45	3	01-05-0001	914473	225	3572.16	0.88	
46	3	01-05-0001	915607	102	3576.59	0.4	
47	3	01-05-0001	915761	215	3577.19	0.84	
48	3	01-05-0001	916480	82	3580	0.32	
49	3	01-05-0001	917911	305	3585.59	1.19	
50	3	01-05-0001	918369	248	3587.38	0.97	
51	3	01-05-0001	920169	384	3594.41	1.5	
52	3	01-05-0001	921946	136	3601.35	0.53	
53	4	01-05-0001	930181	136	3633.52	0.53	
54	4	01-05-0001	930637	118	3635.3	0.46	
55	4	01-05-0001	932900	118	3644.14	0.46	
56	4	01-05-0001	934272	154	3649.5	0.6	
57	4	01-05-0001	935519	105	3654.37	0.41	
58	4	01-05-0001	935951	177	3656.06	0.69	
59	4	01-05-0001	938348	123	3665.42	0.48	
60	4	01-05-0001	940216	192	3672.72	0.75	
61	4	01-05-0001	942203	113	3680.48	0.44	
62	4	01-05-0001	943478	340	3685.46	1.33	
63	4	01-05-0001	944502	174	3689.46	0.68	
64	4	01-05-0001	944899	90	3691.01	0.35	
65	4	01-05-0001	945923	146	3695.01	0.57	
66	4	01-05-0001	947871	102	3702.62	0.4	
67	4	01-05-0001	950863	156	3714.31	0.61	
68	4	01-05-0001	952289	154	3719.88	0.6	
69	5	01-05-0001	960479	184	3751.87	0.72	
70	5	01-05-0001	963571	184	3763.95	0.72	
71	5	01-05-0001	968108	187	3781.67	0.73	
72	5	01-05-0001	968645	346	3783.77	1.35	
73	5	01-05-0001	970552	276	3791.22	1.08	
74	5	01-05-0001	971786	325	3796.04	1.27	
75	5	01-05-0001	978527	220	3822.37	0.86	
76	5	01-05-0001	979535	100	3826.31	0.39	
77	5	01-05-0001	981983	225	3835.87	0.88	
78	5	01-05-0001	984827	159	3846.98	0.62	
79	5	01-05-0001	987686	220	3858.15	0.86	
80	5	01-05-0001	988349	177	3860.74	0.69	
81	6	01-05-0001	2185882	335	8538.6	1.31	
82	6	01-05-0001	2187185	241	8543.69	0.94	
83	6	01-05-0001	2188255	358	8547.87	1.4	
