startSec	durationSec	eventName	
996.7852	115	segmentViewed	
1136.7852	115	segmentViewed	
1276.7891	115	segmentViewed	
2706.8047	115	segmentViewed	
5926.8477	115	segmentViewed	
7436.8672	115	segmentViewed	
8046.875	115	segmentViewed	
8236.8789	115	segmentViewed	
11336.918	115	segmentViewed	
11466.918	115	segmentViewed	
1020.7752	0.42	spindle	
1086.9252	0.76	spindle	
1182.3152	1.28	spindle	
1190.9052	0.47	spindle	
1191.6052	0.55	spindle	
1196.7252	1.04	spindle	
1203.6052	0.46	spindle	
1212.2652	0.63	spindle	
1220.5952	0.39	spindle	
1223.1152	0.59	spindle	
1290.8691	0.44	spindle	
1296.3991	0.36	spindle	
1302.9691	0.69	spindle	
1309.2491	1.28	spindle	
1319.0291	1.4	spindle	
1347.6991	1.7	spindle	
1354.5991	0.39	spindle	
1355.3291	2.47	spindle	
1359.5991	1.14	spindle	
1362.0391	0.37	spindle	
1364.0591	1.54	spindle	
1367.4591	1.77	spindle	
1370.8991	0.67	spindle	
1373.9891	0.52	spindle	
1376.0691	0.59	spindle	
1377.7291	0.48	spindle	
1380.7091	0.71	spindle	
1383.7491	0.46	spindle	
1391.4291	0.36	spindle	
2708.8847	0.91	spindle	
2753.5647	0.42	spindle	
2757.3747	1.26	spindle	
2794.9647	2.04	spindle	
2818.0647	2.07	spindle	
5997.7077	0.59	spindle	
8124.625	0.66	spindle	
8156.795	0.55	spindle	
8160.625	0.78	spindle	
8253.1289	0.54	spindle	
8258.4489	0.62	spindle	
8267.0989	1.33	spindle	
8297.7889	0.75	spindle	
8306.3289	0.55	spindle	
8345.9889	0.77	spindle	
11353.828	0.85	spindle	
11370.368	0.53	spindle	
11399.578	0.56	spindle	
11406.588	0.65	spindle	
11512.458	0.77	spindle	
