startSec	durationSec	eventName	
1669.9219	115	segmentViewed	
6689.9219	115	segmentViewed	
10589.9219	115	segmentViewed	
1678.6219	0.67	spindle	
1701.5819	0.54	spindle	
1721.4819	0.56	spindle	
6694.6319	0.77	spindle	
6729.9919	0.51	spindle	
6733.6419	1.09	spindle	
6746.7519	1.11	spindle	
6750.1119	1.02	spindle	
10589.9519	0.74	spindle	
10645.4519	0.72	spindle	
10660.2019	0.63	spindle	
10668.8119	0.73	spindle	
10675.7419	1.44	spindle	
10681.8519	1.37	spindle	
10688.8619	1.25	spindle	
10694.5019	1.12	spindle	
