startSec	durationSec	eventName	
7401.4844	115	segmentViewed	
8145.4961	115	segmentViewed	
10201.5234	115	segmentViewed	
7405.0244	0.68	spindle	
7406.4244	0.39	spindle	
7408.5044	1.73	spindle	
7411.4244	0.76	spindle	
7417.5144	1.17	spindle	
7440.4544	1.19	spindle	
7473.6244	0.37	spindle	
7476.4544	1.33	spindle	
8151.2861	0.61	spindle	
8152.9161	0.71	spindle	
8155.1761	0.69	spindle	
8160.0161	0.49	spindle	
8161.0861	0.85	spindle	
8162.9861	0.65	spindle	
8165.8061	0.72	spindle	
8167.8461	0.91	spindle	
8183.8361	0.68	spindle	
8189.5661	0.6	spindle	
8200.1361	1.01	spindle	
8202.1261	0.53	spindle	
8205.1161	0.71	spindle	
8206.0161	0.92	spindle	
8214.5061	0.85	spindle	
8218.8261	1.66	spindle	
8223.5461	1.85	spindle	
8230.7261	1.75	spindle	
8241.0461	0.87	spindle	
8253.1361	1.01	spindle	
8259.4961	0.98	spindle	
10203.8034	0.66	spindle	
10212.1534	1.21	spindle	
10215.8934	1.69	spindle	
10222.4934	0.62	spindle	
10227.0834	0.54	spindle	
10289.8634	0.64	spindle	
10294.8934	0.51	spindle	
10295.5434	0.58	spindle	
10300.2434	0.64	spindle	
10307.2934	0.94	spindle	
10312.7934	1.18	spindle	
