startSec	durationSec	eventName	
12516.1133	115	segmentViewed	
14868.4961	115	segmentViewed	
15018.4961	115	segmentViewed	
12517.7333	0.96	spindle	
12521.9133	0.57	spindle	
12524.8933	1.32	spindle	
12529.5033	1.21	spindle	
12532.8233	0.66	spindle	
12536.7933	0.71	spindle	
12543.7833	0.8	spindle	
12547.6133	1.48	spindle	
12557.4333	0.96	spindle	
12562.9933	0.59	spindle	
12565.4833	1.09	spindle	
12577.3633	0.99	spindle	
12581.0833	1.34	spindle	
12590.6333	0.95	spindle	
12595.6333	0.46	spindle	
12597.6633	0.76	spindle	
12601.6633	0.57	spindle	
12604.5033	0.61	spindle	
12606.1733	0.96	spindle	
12609.3433	1.91	spindle	
12614.8033	0.41	spindle	
14871.8361	0.57	spindle	
14875.8561	0.71	spindle	
14879.3961	1.28	spindle	
14883.3261	0.88	spindle	
14884.5361	0.65	spindle	
14887.4861	0.99	spindle	
14923.3261	1	spindle	
14931.4361	0.68	spindle	
14955.8961	0.88	spindle	
14961.1361	1.47	spindle	
14964.4761	0.58	spindle	
14971.8561	1.41	spindle	
14976.4861	0.8	spindle	
15021.7061	1.02	spindle	
15041.4561	1.04	spindle	
15045.7061	0.91	spindle	
15047.8961	1.14	spindle	
15053.3561	0.76	spindle	
15057.8161	0.7	spindle	
15061.1461	1.29	spindle	
15064.7361	0.61	spindle	
15067.6361	0.98	spindle	
15092.7461	0.39	spindle	
15094.2261	0.78	spindle	
15112.8561	0.59	spindle	
15119.5861	0.81	spindle	
15123.0261	0.71	spindle	
