startSec	durationSec	eventName	
3816	115	segmentViewed	
6076.0313	115	segmentViewed	
10706.0898	115	segmentViewed	
3821.78	0.94	spindle	
3827.57	1.06	spindle	
3863.32	0.59	spindle	
3866.03	0.69	spindle	
3878.52	0.64	spindle	
3903.81	1.11	spindle	
3929.61	0.84	spindle	
6076.2013	0.61	spindle	
6079.3713	1.03	spindle	
6102.4513	0.58	spindle	
6113.2013	0.64	spindle	
6115.2613	0.72	spindle	
6133.9213	0.58	spindle	
6137.2013	0.86	spindle	
6142.8913	0.64	spindle	
6144.5113	0.97	spindle	
6147.6413	0.78	spindle	
6150.8713	1.25	spindle	
6158.2613	0.36	spindle	
6166.1413	0.83	spindle	
6183.2313	1.14	spindle	
6185.5613	0.72	spindle	
6189.8413	0.56	spindle	
10721.4298	1.33	spindle	
10747.2698	1.11	spindle	
10785.9898	1.16	spindle	
