startSec	durationSec	eventName	
6134.1172	115	segmentViewed	
11848.9414	115	segmentViewed	
14708.9766	115	segmentViewed	
6156.8672	0.38	spindle	
6158.6172	0.41	spindle	
6192.1372	1	spindle	
6198.4272	0.5	spindle	
6209.7772	0.58	spindle	
6215.7572	0.8	spindle	
6247.8472	0.67	spindle	
11852.2314	0.81	spindle	
11858.0014	0.33	spindle	
11875.3414	0.68	spindle	
11888.6514	0.84	spindle	
11892.5414	0.79	spindle	
11909.4714	0.69	spindle	
11924.6614	0.56	spindle	
11949.2414	1.18	spindle	
11952.9414	1.01	spindle	
11960.2614	1.33	spindle	
14710.9166	0.94	spindle	
14715.1166	0.86	spindle	
14718.0366	0.58	spindle	
14729.0266	0.36	spindle	
14738.8166	0.88	spindle	
14754.3866	0.86	spindle	
14762.0866	0.93	spindle	
14798.7966	0.63	spindle	
14801.8966	0.53	spindle	
14812.5566	0.61	spindle	
